quarter,test_date,variable,metric_value,included,weight_bic,weight_rmse,y_hat
2023Q3,2023-07-14,DA3m_EMPLOY_NONFARM_US,2.24496451185948,TRUE,0.0147679147203275,0.013109899636012,3.91264515470389
2023Q3,2023-07-14,DA3m_Fx,2.20593800542383,TRUE,0.0093483231759636,0.0135778723368699,4.40488195646372
2023Q3,2023-07-14,DA3m_HOUSING_STARTS_US,2.25208383389059,TRUE,0.0104746334300894,0.0130271442144768,3.39756725115289
2023Q3,2023-07-14,DA3m_HVT,2.31460162360882,TRUE,0.0103118453567847,0.0123329173286069,3.81577888826958
2023Q3,2023-07-14,DA3m_IC_Br,2.34956364876254,TRUE,0.00990667096930771,0.0119686150367047,3.53696015979213
2023Q3,2023-07-14,DA3m_IE_S,2.14700756737741,TRUE,0.017516083591235,0.014333464555921,3.29101510629918
2023Q3,2023-07-14,DA3m_IE_S_alt,2.18561724127571,TRUE,0.0163319545258172,0.0138315264394689,3.03442916840292
2023Q3,2023-07-14,DA3m_INCC_DI,2.16764620684682,TRUE,0.0116690081752163,0.0140618197577431,3.69410633600522
2023Q3,2023-07-14,DA3m_INDF,2.21808237079561,TRUE,0.0173223436702332,0.013429597203208,2.70048867384877
2023Q3,2023-07-14,DA3m_INDFE,2.3031698959614,TRUE,0.0117010043773122,0.0124556494326553,4.73742823065118
2023Q3,2023-07-14,DA3m_IP,2.50820852572211,TRUE,0.0140973193567648,0.0105024602789993,3.40766974992352
2023Q3,2023-07-14,DA3m_IPCA,2.25234880719443,TRUE,0.0145795266157308,0.0130240792874209,3.74791359460258
2023Q3,2023-07-14,DA3m_IPCA_EX0,2.49417868695584,TRUE,0.0156392343387465,0.0106209459699911,3.15759070571404
2023Q3,2023-07-14,DA3m_IPCA_EX1,3.30522239080132,FALSE,,,3.04199242704246
2023Q3,2023-07-14,DA3m_IPCA_EX2,2.40300633019438,TRUE,0.00962644978945356,0.0114421726743712,3.65160844550063
2023Q3,2023-07-14,DA3m_IPCA_MA,2.55102115329711,TRUE,0.012403103911538,0.0101529023103184,2.10922446678095
2023Q3,2023-07-14,DA3m_IPCA_MS,3.23175281263624,FALSE,,,1.08343502575514
2023Q3,2023-07-14,DA3m_IPCDG,2.46020384409577,TRUE,0.0113942550641958,0.0109163170741237,3.89294560216202
2023Q3,2023-07-14,DA3m_IPCG,2.27025901917783,TRUE,0.0111188105697953,0.0128193943577159,3.72369833458933
2023Q3,2023-07-14,DA3m_IPCI,2.16406743307147,TRUE,0.0090546971396964,0.0141083669975534,3.8336954824201
2023Q3,2023-07-14,DA3m_IPCIG,2.38943482831287,TRUE,0.0130866001576846,0.0115725202081789,3.71928144185837
2023Q3,2023-07-14,DA3m_IPKG,2.35679416599549,TRUE,0.0182375273491995,0.0118952895595719,1.54301707798921
